Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,2P,2PA,2Pcent,eFGcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_additional
1,Stephen Curry,PG,34,GSW,12,12,422,132,251,.526,62,143,.434,70,108,.648,.649,67,73,.918,8,73,81,78,13,1,32,25,393,curryst01
2,Jayson Tatum,PF,24,BOS,13,13,487,135,270,.500,48,124,.387,87,146,.596,.589,102,117,.872,10,84,94,53,10,17,32,29,420,tatumja01
3,Buddy Hield,SG,30,IND,12,12,378,82,175,.469,49,120,.408,33,55,.600,.609,13,15,.867,15,51,66,38,9,5,23,26,226,hieldbu01
4,Jordan Clarkson,SG,30,UTA,15,15,455,99,231,.429,46,117,.393,53,114,.465,.528,28,35,.800,23,41,64,71,5,8,35,29,272,clarkjo01
5,Anfernee Simons,SG,23,POR,11,11,398,85,202,.421,42,115,.365,43,87,.494,.525,33,39,.846,4,29,33,45,9,2,26,24,245,simonan01
6,Kelly Oubre Jr.,SF,27,CHO,14,14,428,95,226,.420,38,109,.349,57,117,.487,.504,31,45,.689,13,54,67,18,17,5,17,43,259,oubreke01
7,Donovan Mitchell,SG,26,CLE,11,11,430,123,240,.513,46,106,.434,77,134,.575,.608,56,64,.875,11,41,52,67,15,7,37,32,348,mitchdo01
8,Max Strus,SF,26,MIA,13,6,424,73,157,.465,41,106,.387,32,51,.627,.596,14,17,.824,9,42,51,25,10,5,12,34,201,strusma01
9,Klay Thompson,SG,32,GSW,11,11,314,59,168,.351,35,106,.330,24,62,.387,.455,9,12,.750,3,34,37,27,6,5,18,19,162,thompkl01
10,Keldon Johnson,SF,23,SAS,12,12,407,96,208,.462,45,105,.429,51,103,.495,.570,46,60,.767,8,55,63,44,12,1,36,20,283,johnske04
11,Jalen Green,SG,20,HOU,13,13,445,100,235,.426,39,104,.375,61,131,.466,.509,44,56,.786,8,44,52,37,10,4,35,21,283,greenja05
12,Desmond Bane,SG,24,MEM,12,12,403,99,213,.465,46,102,.451,53,111,.477,.573,52,57,.912,6,53,59,57,7,3,27,29,296,banede01
13,Malik Beasley,SG,26,UTA,15,2,384,65,152,.428,42,100,.420,23,52,.442,.566,11,12,.917,10,42,52,18,15,2,11,16,183,beaslma01
14,Tyrese Maxey,SG,22,PHI,14,14,525,117,261,.448,40,98,.408,77,163,.472,.525,45,60,.750,6,42,48,61,15,3,29,35,319,maxeyty01
15,Luka Dončić,PG,23,DAL,12,12,443,140,282,.496,28,98,.286,112,184,.609,.546,104,139,.748,12,92,104,97,24,8,39,39,412,doncilu01
16,Paul George,SF,32,LAC,12,12,428,105,227,.463,34,97,.351,71,130,.546,.537,52,62,.839,5,66,71,54,18,7,43,32,296,georgpa01
17,Anthony Edwards,SG,21,MIN,14,14,505,111,243,.457,33,97,.340,78,146,.534,.525,38,57,.667,7,72,79,52,15,4,43,44,293,edwaran01
18,Gary Trent Jr.,SG,24,TOR,14,14,448,81,195,.415,31,95,.326,50,100,.500,.495,39,50,.780,10,17,27,20,19,3,14,18,232,trentga02
19,Bojan Bogdanović,PF,33,DET,14,14,435,93,184,.505,40,93,.430,53,91,.582,.614,58,63,.921,6,42,48,27,6,0,26,28,284,bogdabo02
20,Trae Young,PG,24,ATL,12,12,422,103,272,.379,28,92,.304,75,180,.417,.430,95,105,.905,11,27,38,112,10,2,45,17,329,youngtr01
21,Lauri Markkanen,SF,25,UTA,15,15,496,122,232,.526,31,90,.344,91,142,.641,.593,52,62,.839,32,97,129,33,8,14,30,26,327,markkla01
22,Michael Porter Jr.,SF,24,DEN,12,12,349,78,157,.497,43,89,.483,35,68,.515,.634,17,20,.850,16,61,77,15,8,3,12,35,216,portemi01
23,Kevin Huerter,SG,24,SAC,12,12,382,66,132,.500,45,88,.511,21,44,.477,.670,22,33,.667,1,34,35,38,11,5,16,25,199,huertke01
24,Jordan Poole,SG,23,GSW,13,2,371,68,165,.412,29,88,.330,39,77,.506,.500,38,46,.826,3,20,23,58,14,1,42,32,203,poolejo01
25,Kyle Kuzma,PF,27,WAS,14,14,461,95,209,.455,28,88,.318,67,121,.554,.522,39,53,.736,12,99,111,38,3,8,32,37,257,kuzmaky01
26,CJ McCollum,SG,31,NOP,13,13,467,93,238,.391,24,86,.279,69,152,.454,.441,22,28,.786,13,58,71,82,18,8,28,25,232,mccolcj01
27,Spencer Dinwiddie,PG,29,DAL,12,12,397,81,165,.491,39,85,.459,42,80,.525,.609,21,26,.808,3,39,42,56,14,2,21,30,222,dinwisp01
28,Tyrese Haliburton,PG,22,IND,12,12,410,87,180,.483,36,84,.429,51,96,.531,.583,36,42,.857,13,44,57,124,22,2,36,16,246,halibty01
29,Jaylen Brown,SF,26,BOS,12,12,437,112,234,.479,30,84,.357,82,150,.547,.543,50,59,.847,12,70,82,39,10,6,35,34,304,brownja02
30,Fred VanVleet,PG,28,TOR,10,10,365,60,147,.408,35,83,.422,25,64,.391,.527,29,35,.829,6,31,37,68,23,7,14,24,184,vanvlfr01
31,Kyle Lowry,PG,36,MIA,13,13,455,50,124,.403,28,82,.341,22,42,.524,.516,41,45,.911,8,55,63,75,15,6,26,36,169,lowryky01
32,D'Angelo Russell,PG,26,MIN,14,14,421,72,175,.411,27,82,.329,45,93,.484,.489,31,42,.738,11,37,48,88,18,8,42,28,202,russeda01
33,Royce O'Neale,SF,29,BRK,14,14,509,50,134,.373,34,81,.420,16,53,.302,.500,10,14,.714,16,49,65,57,19,9,17,48,144,onealro01
34,Kevin Love,PF,34,CLE,13,1,276,48,113,.425,33,81,.407,15,32,.469,.571,29,34,.853,13,84,97,34,2,3,15,17,158,loveke01
35,Karl-Anthony Towns,PF,27,MIN,14,14,480,106,206,.515,29,79,.367,77,127,.606,.585,57,64,.891,27,103,130,73,9,9,41,54,298,townska01
36,Damian Lillard,PG,32,POR,8,8,283,66,141,.468,31,78,.397,35,63,.556,.578,66,76,.868,9,31,40,48,5,2,34,12,229,lillada01
37,Zach LaVine,SG,27,CHI,10,10,338,76,171,.444,30,78,.385,46,93,.495,.532,37,44,.841,5,34,39,41,13,1,22,25,219,lavinza01
38,Saddiq Bey,SF,23,DET,14,14,443,69,163,.423,24,78,.308,45,85,.529,.497,64,70,.914,15,49,64,20,12,3,19,25,226,beysa01
39,Brook Lopez,C,34,MIL,12,12,376,73,150,.487,28,77,.364,45,73,.616,.580,15,19,.789,26,51,77,12,8,32,20,31,189,lopezbr01
40,Dejounte Murray,SG,26,ATL,13,13,476,115,253,.455,25,77,.325,90,176,.511,.504,27,31,.871,12,70,82,104,29,6,31,23,282,murrade01
41,Bennedict Mathurin,SG,20,IND,12,0,338,73,160,.456,34,75,.453,39,85,.459,.563,59,71,.831,15,32,47,27,5,1,29,27,239,mathube01
42,Kristaps Porziņģis,PF,27,WAS,13,13,403,92,188,.489,29,75,.387,63,113,.558,.566,54,67,.806,29,77,106,31,10,18,23,43,267,porzikr01
43,Andrew Wiggins,SF,27,GSW,12,12,411,88,177,.497,29,75,.387,59,102,.578,.579,23,31,.742,20,51,71,30,17,13,15,36,228,wiggian01
44,Julius Randle,PF,28,NYK,13,13,435,90,196,.459,25,75,.333,65,121,.537,.523,66,87,.759,33,85,118,44,8,3,39,47,271,randlju01
45,Tim Hardaway Jr.,SG,30,DAL,11,0,266,39,115,.339,25,75,.333,14,40,.350,.448,26,29,.897,1,19,20,22,7,2,11,14,129,hardati02
46,Kyrie Irving,PG,30,BRK,8,8,309,78,172,.453,21,75,.280,57,97,.588,.515,38,41,.927,6,35,41,41,11,9,19,24,215,irvinky01
47,Tobias Harris,PF,30,PHI,14,14,472,78,169,.462,29,73,.397,49,96,.510,.547,21,27,.778,15,72,87,40,22,8,15,30,206,harrito02
48,Devin Booker,SG,26,PHO,12,12,437,113,238,.475,28,73,.384,85,165,.515,.534,66,76,.868,11,43,54,67,12,5,33,27,320,bookede01
49,Kevin Porter Jr.,PG,22,HOU,13,13,455,86,207,.415,25,73,.342,61,134,.455,.476,52,67,.776,19,55,74,76,16,4,53,38,249,porteke02
50,Mike Conley,PG,35,UTA,14,14,424,51,128,.398,27,72,.375,24,56,.429,.504,22,29,.759,5,27,32,114,14,4,22,23,151,conlemi01
51,P.J. Washington,PF,24,CHO,14,14,436,77,182,.423,24,72,.333,53,110,.482,.489,26,34,.765,16,46,62,21,8,16,26,41,204,washipj01
52,Tre Mann,PG,21,OKC,13,4,313,55,137,.401,24,72,.333,31,65,.477,.489,10,16,.625,10,30,40,29,12,1,13,23,144,manntr01
53,RJ Barrett,SG,22,NYK,13,13,441,89,208,.428,22,72,.306,67,136,.493,.481,46,59,.780,13,57,70,37,7,2,29,28,246,barrerj01
54,Luguentz Dort,SG,23,OKC,13,13,393,62,158,.392,18,72,.250,44,86,.512,.449,34,44,.773,18,38,56,31,19,4,12,45,176,dortlu01
55,Trey Murphy III,SF,22,NOP,13,4,371,50,107,.467,28,71,.394,22,36,.611,.598,21,22,.955,17,41,58,18,12,5,10,24,149,murphtr02
56,LeBron James,PF,38,LAL,10,10,357,100,219,.457,17,71,.239,83,148,.561,.495,32,48,.667,18,70,88,69,11,7,34,20,249,jamesle01
57,Keegan Murray,SF,22,SAC,11,9,352,53,116,.457,27,70,.386,26,46,.565,.573,7,9,.778,8,33,41,13,12,9,19,28,140,murrake02
58,Terry Rozier,PG,28,CHO,7,7,252,57,152,.375,25,70,.357,32,82,.390,.457,14,17,.824,11,27,38,39,3,3,17,9,153,roziete01
59,Marcus Smart,PG,28,BOS,13,13,428,49,124,.395,20,70,.286,29,54,.537,.476,19,23,.826,3,37,40,91,16,3,20,39,137,smartma01
60,Jabari Smith Jr.,PF,19,HOU,12,12,356,41,130,.315,20,70,.286,21,60,.350,.392,22,26,.846,18,63,81,10,2,13,15,44,124,smithja05
61,Devin Vassell,SG,22,SAS,9,7,284,70,149,.470,30,69,.435,40,80,.500,.570,19,25,.760,1,36,37,34,8,3,12,10,189,vassede01
62,OG Anunoby,SF,25,TOR,14,14,495,90,190,.474,26,69,.377,64,121,.529,.542,35,43,.814,19,66,85,25,40,13,32,48,241,anunoog01
63,Georges Niang,PF,29,PHI,14,0,253,40,85,.471,30,67,.448,10,18,.556,.647,7,7,1.000,3,23,26,10,5,6,10,25,117,niangge01
64,Kevin Durant,PF,34,BRK,14,14,518,143,273,.524,24,67,.358,119,206,.578,.568,118,129,.915,6,87,93,74,13,27,46,35,428,duranke01
65,Jrue Holiday,PG,32,MIL,10,10,331,74,168,.440,24,67,.358,50,101,.495,.512,24,28,.857,13,44,57,79,15,7,29,17,196,holidjr01
66,Malik Monk,SG,24,SAC,12,0,262,46,112,.411,24,66,.364,22,46,.478,.518,26,28,.929,5,22,27,51,5,4,20,20,142,monkma01
67,Tyler Herro,SG,23,MIA,10,10,314,72,154,.468,24,64,.375,48,90,.533,.545,28,31,.903,6,58,64,26,7,6,21,16,196,herroty01
68,Jerami Grant,PF,28,POR,12,12,428,82,165,.497,29,63,.460,53,102,.520,.585,55,72,.764,11,45,56,32,8,11,27,24,248,grantje01
69,Doug McDermott,SF,31,SAS,13,0,274,48,107,.449,26,63,.413,22,44,.500,.570,8,12,.667,4,25,29,18,0,2,13,21,130,mcderdo01
70,Marcus Morris,PF,33,LAC,11,11,346,65,132,.492,25,63,.397,40,69,.580,.587,7,7,1.000,6,60,66,24,10,4,12,28,162,morrima03
71,Dillon Brooks,SG,27,MEM,11,11,321,66,163,.405,24,62,.387,42,101,.416,.479,15,21,.714,5,34,39,23,7,2,16,36,171,brookdi01
72,Duncan Robinson,SF,28,MIA,13,0,226,29,84,.345,19,62,.306,10,22,.455,.458,7,8,.875,3,28,31,18,1,0,5,24,84,robindu01
73,Ja Morant,PG,23,MEM,12,12,395,121,252,.480,25,61,.410,96,191,.503,.530,78,99,.788,13,59,72,84,12,4,48,23,345,moranja01
74,Nikola Vučević,C,32,CHI,14,14,436,84,179,.469,24,61,.393,60,118,.508,.536,32,35,.914,37,124,161,40,3,11,34,34,224,vucevni01
75,Gabe Vincent,PG,26,MIA,13,0,337,44,110,.400,19,61,.311,25,49,.510,.486,20,24,.833,4,24,28,38,13,2,18,35,127,vincega01
76,Cade Cunningham,PG,21,DET,12,12,400,93,224,.415,17,61,.279,76,163,.466,.453,36,43,.837,12,62,74,72,10,7,39,34,239,cunnica01
77,Josh Richardson,SG,29,SAS,12,2,278,44,103,.427,24,60,.400,20,43,.465,.544,23,27,.852,3,23,26,35,8,2,25,24,135,richajo01
78,Eric Gordon,SG,34,HOU,11,11,337,49,108,.454,22,60,.367,27,48,.563,.556,22,27,.815,2,20,22,37,9,5,21,10,142,gordoer01
79,James Harden,SG,33,PHI,9,9,331,63,143,.441,20,60,.333,43,83,.518,.510,52,56,.929,5,58,63,90,10,6,26,18,198,hardeja01
80,Caris LeVert,SG,28,CLE,13,13,451,61,156,.391,25,59,.424,36,97,.371,.471,32,41,.780,16,46,62,69,10,2,27,34,179,leverca01
81,Joe Harris,SG,31,BRK,12,8,318,36,87,.414,20,58,.345,16,29,.552,.529,2,5,.400,10,33,43,24,7,3,6,27,94,harrijo01
82,Sam Hauser,PF,25,BOS,13,0,202,34,66,.515,26,57,.456,8,9,.889,.712,3,4,.750,4,22,26,8,3,3,1,18,97,hausesa01
83,Jaden Ivey,SG,20,DET,13,13,408,74,166,.446,20,57,.351,54,109,.495,.506,37,51,.725,18,48,66,49,18,5,32,35,205,iveyja01
84,Evan Fournier,SG,30,NYK,13,7,260,31,90,.344,19,57,.333,12,33,.364,.450,9,11,.818,2,25,27,22,9,3,14,28,90,fournev01
85,De'Aaron Fox,PG,25,SAC,11,11,360,108,197,.548,21,56,.375,87,141,.617,.602,44,53,.830,7,49,56,66,14,5,35,32,281,foxde01
86,Lonnie Walker IV,SG,24,LAL,11,11,342,68,144,.472,20,56,.357,48,88,.545,.542,26,32,.813,5,22,27,19,12,7,12,23,182,walkelo01
87,Will Barton,SG,32,WAS,14,0,334,47,122,.385,19,56,.339,28,66,.424,.463,14,15,.933,6,43,49,35,8,4,18,17,127,bartowi01
88,Justin Holiday,SG,33,ATL,13,0,252,31,80,.388,19,56,.339,12,24,.500,.506,0,0,,1,15,16,15,4,4,8,25,81,holidju01
89,Kentavious Caldwell-Pope,SG,29,DEN,12,12,372,50,100,.500,30,55,.545,20,45,.444,.650,12,16,.750,4,39,43,32,18,4,15,24,142,caldwke01
90,Obi Toppin,PF,24,NYK,13,0,231,50,104,.481,22,55,.400,28,49,.571,.587,9,9,1.000,11,40,51,14,8,3,14,12,131,toppiob01
91,Jamal Murray,PG,25,DEN,12,12,344,78,178,.438,19,55,.345,59,123,.480,.492,19,26,.731,8,34,42,52,12,0,25,9,194,murraja01
92,Tyus Jones,PG,26,MEM,14,2,326,63,140,.450,19,55,.345,44,85,.518,.518,8,13,.615,4,20,24,55,10,1,16,7,153,jonesty01
93,Dorian Finney-Smith,PF,29,DAL,12,12,390,37,85,.435,18,55,.327,19,30,.633,.541,8,11,.727,14,34,48,9,10,6,15,26,100,finnedo01
94,Jaylen Nowell,SG,23,MIN,14,0,254,60,144,.417,17,55,.309,43,89,.483,.476,15,19,.789,8,31,39,31,7,2,13,21,152,nowelja01
95,Grayson Allen,SG,27,MIL,11,10,295,35,83,.422,23,54,.426,12,29,.414,.560,26,28,.929,8,23,31,30,9,3,19,19,119,allengr01
96,Darius Garland,PG,23,CLE,7,7,242,48,122,.393,22,54,.407,26,68,.382,.484,30,38,.789,4,12,16,56,10,1,22,18,148,garlada01
97,Russell Westbrook,PG,34,LAL,12,3,352,68,165,.412,18,53,.340,50,112,.446,.467,42,52,.808,14,52,66,86,14,5,45,32,196,westbru01
98,Bones Hyland,PG,22,DEN,9,0,187,40,103,.388,26,52,.500,14,51,.275,.515,20,26,.769,1,14,15,33,6,3,18,17,126,hylanbo01
99,Terrence Ross,SG,31,ORL,12,8,321,47,102,.461,22,52,.423,25,50,.500,.569,6,9,.667,5,27,32,16,8,3,11,26,122,rosste01
100,Jevon Carter,PG,27,MIL,12,12,319,41,96,.427,22,52,.423,19,44,.432,.542,6,8,.750,7,22,29,37,19,8,19,36,110,carteje01
101,Isaiah Stewart,C,21,DET,14,14,394,54,114,.474,16,52,.308,38,62,.613,.544,47,64,.734,42,94,136,19,8,10,14,43,171,stewais01
102,Reggie Jackson,PG,32,LAC,13,13,382,50,127,.394,15,52,.288,35,75,.467,.453,16,17,.941,4,25,29,54,9,1,27,22,131,jacksre01
103,Franz Wagner,SF,21,ORL,13,13,444,96,196,.490,12,52,.231,84,144,.583,.520,34,40,.850,14,38,52,59,11,4,36,29,238,wagnefr01
104,James Bouknight,SG,22,CHO,14,0,266,33,97,.340,12,52,.231,21,45,.467,.402,10,16,.625,4,30,34,21,6,4,15,24,88,bouknja01
105,Cameron Johnson,PF,26,PHO,8,8,202,37,83,.446,22,51,.431,15,32,.469,.578,8,11,.727,5,22,27,14,9,3,2,14,104,johnsca02
106,De'Andre Hunter,SF,25,ATL,13,13,384,76,161,.472,18,51,.353,58,110,.527,.528,25,35,.714,10,41,51,12,4,2,18,45,195,huntede01
107,Ayo Dosunmu,PG,23,CHI,13,13,394,61,125,.488,18,51,.353,43,74,.581,.560,12,13,.923,6,44,50,42,11,4,22,32,152,dosunay01
108,Scottie Barnes,PF,21,TOR,13,13,415,72,167,.431,17,51,.333,55,116,.474,.482,18,25,.720,25,61,86,64,12,9,26,19,179,barnesc01
109,Santi Aldama,PF,22,MEM,14,14,388,53,114,.465,17,51,.333,36,63,.571,.539,14,22,.636,26,61,87,13,13,17,10,39,137,aldamsa01
110,Jalen Brunson,PG,26,NYK,13,13,425,93,189,.492,15,51,.294,78,138,.565,.532,53,61,.869,5,41,46,89,15,2,21,31,254,brunsja01
111,Reggie Bullock,SF,31,DAL,12,12,344,19,64,.297,15,51,.294,4,13,.308,.414,3,5,.600,5,30,35,12,14,2,7,35,56,bullore01
112,Immanuel Quickley,PG,23,NYK,13,0,278,39,106,.368,14,50,.280,25,56,.446,.434,22,27,.815,8,56,64,42,15,2,18,23,114,quickim01
113,Jalen McDaniels,SF,25,CHO,14,1,369,51,118,.432,20,49,.408,31,69,.449,.517,16,19,.842,16,55,71,34,16,8,19,37,138,mcdanja01
114,Cedi Osman,SF,27,CLE,13,0,278,40,91,.440,19,49,.388,21,42,.500,.544,17,24,.708,3,28,31,24,1,1,11,28,116,osmande01
115,Jalen Smith,PF,22,IND,12,12,286,50,113,.442,16,49,.327,34,64,.531,.513,16,24,.667,21,70,91,13,2,9,19,27,132,smithja04
116,John Konchar,SG,26,MEM,13,5,336,34,77,.442,19,48,.396,15,29,.517,.565,1,2,.500,19,53,72,14,13,4,6,21,88,konchjo01
117,De'Anthony Melton,PG,24,PHI,12,5,293,42,97,.433,16,48,.333,26,49,.531,.515,5,7,.714,14,37,51,32,19,6,11,19,105,meltode01
118,Goran Dragić,PG,36,CHI,14,0,270,53,116,.457,22,47,.468,31,69,.449,.552,13,17,.765,8,18,26,50,4,3,20,20,141,dragigo01
119,Patty Mills,PG,34,BRK,14,0,180,24,60,.400,18,47,.383,6,13,.462,.550,10,10,1.000,4,7,11,12,3,1,3,7,76,millspa02
120,Isaiah Livers,PF,24,DET,12,0,227,22,59,.373,18,47,.383,4,12,.333,.525,8,11,.727,9,24,33,6,4,6,7,26,70,liveris01
121,Kenyon Martin Jr.,SF,22,HOU,13,3,332,55,107,.514,16,47,.340,39,60,.650,.589,20,30,.667,17,48,65,21,6,8,16,29,146,martike04
122,Kelly Olynyk,PF,31,UTA,15,15,402,65,119,.546,23,46,.500,42,73,.575,.643,31,40,.775,18,47,65,47,19,7,38,65,184,olynyke01
123,Al Horford,C,36,BOS,10,10,314,43,77,.558,22,46,.478,21,31,.677,.701,4,7,.571,9,52,61,21,4,7,7,21,112,horfoal01
124,Cameron Payne,PG,28,PHO,10,2,210,46,103,.447,19,46,.413,27,57,.474,.539,10,12,.833,3,22,25,37,10,1,20,15,121,payneca01
125,Derrick White,SG,28,BOS,13,10,325,37,89,.416,18,46,.391,19,43,.442,.517,17,20,.850,8,36,44,38,6,12,7,37,109,whitede01
126,Bobby Portis,PF,27,MIL,12,3,321,64,143,.448,16,46,.348,48,97,.495,.503,16,20,.800,33,99,132,24,5,3,13,14,160,portibo01
127,Norman Powell,SG,29,LAC,13,5,329,56,129,.434,14,46,.304,42,83,.506,.488,29,38,.763,5,30,35,17,11,4,25,25,155,powelno01
128,Taurean Prince,SF,28,MIN,14,0,278,41,82,.500,19,45,.422,22,37,.595,.616,16,17,.941,6,30,36,15,4,3,12,35,117,princta02
129,Collin Sexton,SG,24,UTA,15,1,332,71,150,.473,17,45,.378,54,105,.514,.530,51,64,.797,14,29,43,27,11,1,25,33,210,sextoco01
130,Talen Horton-Tucker,SG,22,UTA,15,0,249,44,110,.400,12,45,.267,32,65,.492,.455,17,22,.773,9,33,42,38,13,5,13,21,117,hortota01
131,Luke Kennard,SG,26,LAC,12,5,268,38,74,.514,21,44,.477,17,30,.567,.655,3,3,1.000,4,35,39,7,6,0,13,18,100,kennalu01
132,David Roddy,PF,21,MEM,14,0,251,31,83,.373,11,44,.250,20,39,.513,.440,7,10,.700,12,26,38,9,7,5,7,21,80,roddyda01
133,Jose Alvarado,PG,24,NOP,13,2,244,38,81,.469,18,43,.419,20,38,.526,.580,6,9,.667,5,21,26,36,12,2,17,26,100,alvarjo01
134,Troy Brown Jr.,SF,23,LAL,11,9,302,41,92,.446,14,43,.326,27,49,.551,.522,8,8,1.000,10,46,56,9,9,0,10,22,104,browntr01
135,Paolo Banchero,PF,20,ORL,11,11,381,89,193,.461,11,43,.256,78,150,.520,.490,70,91,.769,9,82,91,40,8,10,33,26,259,banchpa01
136,Devonte' Graham,PG,27,NOP,13,0,213,20,53,.377,17,42,.405,3,11,.273,.538,7,10,.700,1,14,15,31,7,3,6,11,64,grahade01
137,Wendell Carter Jr.,C,23,ORL,13,13,427,73,145,.503,14,42,.333,59,103,.573,.552,48,57,.842,29,94,123,40,8,6,33,43,208,cartewe01
138,Bruce Brown,PG,26,DEN,13,3,360,51,113,.451,16,41,.390,35,72,.486,.522,12,15,.800,16,35,51,54,10,7,19,24,130,brownbr01
139,Grant Williams,PF,24,BOS,12,4,338,39,64,.609,20,40,.500,19,24,.792,.766,16,20,.800,9,49,58,23,7,8,9,33,114,willigr01
140,Patrick Williams,PF,21,CHI,14,14,352,51,110,.464,15,40,.375,36,70,.514,.532,13,14,.929,17,35,52,11,11,16,21,27,130,willipa01
