Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,2P,2PA,2Pcent,eFGcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_additional
141,Chuma Okeke,PF,24,ORL,13,2,261,24,58,.414,14,40,.350,10,18,.556,.534,13,17,.765,18,40,58,22,5,6,8,23,75,okekech01
142,Garrison Mathews,SG,26,HOU,12,0,150,14,41,.341,14,40,.350,0,1,.000,.512,8,8,1.000,1,9,10,5,3,1,5,15,50,mathega01
143,Bradley Beal,SG,29,WAS,9,9,316,74,143,.517,13,40,.325,61,103,.592,.563,33,36,.917,6,26,32,51,8,7,24,18,194,bealbr01
144,Mike Muscala,C,31,OKC,11,1,152,27,62,.435,13,40,.325,14,22,.636,.540,11,14,.786,7,39,46,8,0,6,6,19,78,muscami01
145,Harrison Barnes,PF,30,SAC,12,12,381,41,99,.414,9,40,.225,32,59,.542,.460,40,49,.816,14,51,65,25,9,3,13,16,131,barneha02
146,Jeremiah Robinson-Earl,PF,22,OKC,12,10,220,38,74,.514,17,39,.436,21,35,.600,.628,7,11,.636,13,34,47,9,11,4,6,23,100,robinje02
147,Damion Lee,SG,30,PHO,12,0,227,24,60,.400,17,39,.436,7,21,.333,.542,12,14,.857,5,24,29,13,7,0,6,19,77,leeda03
148,Aleksej Pokusevski,PF,21,OKC,11,7,256,41,92,.446,14,39,.359,27,53,.509,.522,7,13,.538,19,38,57,18,9,17,18,17,103,pokusal01
149,Trey Lyles,PF,27,SAC,10,0,143,20,51,.392,14,39,.359,6,12,.500,.529,6,9,.667,4,21,25,10,4,5,10,12,60,lylestr01
150,Monte Morris,PG,27,WAS,14,14,386,47,113,.416,13,39,.333,34,74,.459,.473,15,21,.714,7,47,54,71,10,4,13,15,122,morrimo01
151,Cam Reddish,SF,23,NYK,13,5,277,41,93,.441,13,39,.333,28,54,.519,.511,13,15,.867,4,20,24,14,9,6,9,22,108,reddica01
152,Malcolm Brogdon,PG,30,BOS,11,0,253,53,111,.477,14,38,.368,39,73,.534,.541,31,36,.861,10,32,42,39,6,2,22,14,151,brogdma01
153,Chris Duarte,SF,25,IND,9,5,177,28,71,.394,13,38,.342,15,33,.455,.486,11,12,.917,4,15,19,9,1,4,8,16,80,duartch01
154,Pascal Siakam,C,28,TOR,9,9,321,80,167,.479,13,38,.342,67,129,.519,.518,50,69,.725,16,68,84,69,8,5,24,28,223,siakapa01
155,Joel Embiid,C,28,PHI,10,10,352,108,201,.537,9,38,.237,99,163,.607,.560,98,118,.831,16,85,101,41,6,18,42,34,323,embiijo01
156,Davion Mitchell,PG,24,SAC,12,1,226,33,72,.458,13,37,.351,20,35,.571,.549,2,3,.667,1,15,16,21,6,0,16,20,81,mitchda01
157,Chris Boucher,PF,30,TOR,11,0,236,45,90,.500,13,37,.351,32,53,.604,.572,22,32,.688,25,36,61,7,10,12,12,32,125,bouchch01
158,Jordan Nwora,SF,24,MIL,12,1,215,23,78,.295,11,37,.297,12,41,.293,.365,13,13,1.000,11,38,49,10,4,1,10,12,70,nworajo01
159,John Wall,PG,32,LAC,10,0,226,49,113,.434,9,37,.243,40,76,.526,.473,19,33,.576,4,19,23,51,11,3,15,17,126,walljo01
160,Dean Wade,PF,26,CLE,11,4,251,27,51,.529,18,36,.500,9,15,.600,.706,8,11,.727,5,31,36,11,6,4,4,27,80,wadede01
161,Jaden McDaniels,PF,22,MIN,14,14,414,61,109,.560,13,36,.361,48,73,.658,.619,22,29,.759,20,27,47,16,17,17,21,53,157,mcdanja02
162,Austin Reaves,SG,24,LAL,13,4,350,34,71,.479,13,36,.361,21,35,.600,.570,29,33,.879,9,33,42,21,6,4,14,16,110,reaveau01
163,Terence Davis,SG,25,SAC,11,0,139,23,53,.434,12,36,.333,11,17,.647,.547,12,14,.857,5,22,27,14,7,2,5,19,70,daviste02
164,Deni Avdija,SF,22,WAS,14,11,315,34,88,.386,11,36,.306,23,52,.442,.449,17,22,.773,9,52,61,27,9,8,17,41,96,avdijde01
165,Jalen Suggs,PG,21,ORL,8,7,230,39,85,.459,10,36,.278,29,49,.592,.518,16,26,.615,5,17,22,39,14,3,25,29,104,suggsja01
166,John Collins,PF,25,ATL,13,13,408,62,123,.504,9,36,.250,53,87,.609,.541,28,30,.933,19,84,103,14,9,17,18,42,161,collijo01
167,Andrew Nembhard,SG,23,IND,11,3,221,27,64,.422,14,35,.400,13,29,.448,.531,5,5,1.000,4,21,25,37,8,1,12,24,73,nembhan01
168,Aaron Gordon,PF,27,DEN,13,13,377,72,125,.576,11,35,.314,61,90,.678,.620,33,53,.623,29,60,89,33,7,11,16,19,188,gordoaa01
169,Wesley Matthews,SG,36,MIL,12,0,200,14,45,.311,11,35,.314,3,10,.300,.433,5,6,.833,13,17,30,8,9,4,6,21,44,matthwe02
170,Kendrick Nunn,PG,27,LAL,11,2,148,21,68,.309,8,35,.229,13,33,.394,.368,2,3,.667,1,15,16,14,2,1,15,10,52,nunnke01
171,Mikal Bridges,SF,26,PHO,12,12,438,71,128,.555,15,34,.441,56,94,.596,.613,31,35,.886,15,47,62,38,12,12,14,25,188,bridgmi01
172,Derrick Rose,PG,34,NYK,13,0,173,31,81,.383,12,34,.353,19,47,.404,.457,7,7,1.000,4,21,25,28,5,2,15,8,81,rosede01
173,Moses Moody,SG,20,GSW,11,1,186,22,54,.407,12,34,.353,10,20,.500,.519,12,15,.800,5,19,24,5,5,5,15,13,68,moodymo01
174,Coby White,PG,22,CHI,7,0,153,21,55,.382,10,34,.294,11,21,.524,.473,5,9,.556,1,11,12,12,5,0,6,14,57,whiteco01
175,Rudy Gay,SF,36,UTA,12,0,189,21,58,.362,9,34,.265,12,24,.500,.440,3,6,.500,6,35,41,10,5,6,10,16,54,gayru01
176,Patrick Beverley,PG,34,LAL,11,11,309,15,54,.278,8,34,.235,7,20,.350,.352,13,15,.867,9,32,41,33,12,5,10,35,51,beverpa01
177,Torrey Craig,SF,32,PHO,12,4,230,26,55,.473,13,33,.394,13,22,.591,.591,4,6,.667,17,29,46,16,6,6,8,23,69,craigto01
178,Landry Shamet,SG,25,PHO,9,0,146,20,50,.400,12,33,.364,8,17,.471,.520,11,13,.846,2,4,6,11,5,1,8,12,63,shamela01
179,Shai Gilgeous-Alexander,SG,24,OKC,12,12,431,138,254,.543,12,33,.364,126,221,.570,.567,85,91,.934,10,43,53,68,25,18,40,30,373,gilgesh01
180,Alex Caruso,PG,28,CHI,14,5,353,18,56,.321,10,33,.303,8,23,.348,.411,15,20,.750,8,38,46,53,22,14,26,28,61,carusal01
181,Chris Paul,PG,37,PHO,10,10,302,28,76,.368,9,33,.273,19,43,.442,.428,30,34,.882,5,40,45,94,17,2,15,23,95,paulch01
182,MarJon Beauchamp,SF,22,MIL,9,3,147,21,56,.375,9,33,.273,12,23,.522,.455,4,7,.571,8,21,29,3,6,1,10,19,55,beaucma01
183,Brandon Ingram,SF,25,NOP,9,9,293,71,147,.483,15,32,.469,56,115,.487,.534,36,44,.818,5,47,52,36,8,8,28,25,193,ingrabr01
184,Josh Giddey,SG,20,OKC,10,10,300,64,136,.471,11,32,.344,53,104,.510,.511,8,12,.667,16,57,73,57,5,5,33,21,147,giddejo01
185,Maxi Kleber,C,31,DAL,12,0,311,20,51,.392,9,32,.281,11,19,.579,.480,9,12,.750,11,35,46,11,6,8,8,22,58,klebima01
186,Killian Hayes,PG,21,DET,14,1,287,29,98,.296,8,32,.250,21,66,.318,.337,8,10,.800,7,28,35,50,11,4,24,33,74,hayeski01
187,Christian Wood,PF,27,DAL,10,0,247,58,101,.574,13,31,.419,45,70,.643,.639,30,44,.682,13,62,75,8,5,5,24,28,159,woodch01
188,Tre Jones,PG,23,SAS,13,13,396,57,138,.413,13,31,.419,44,107,.411,.460,33,36,.917,9,41,50,86,18,3,26,28,160,jonestr01
189,Jake LaRavia,PF,21,MEM,11,0,206,21,47,.447,13,31,.419,8,16,.500,.585,5,5,1.000,9,31,40,8,6,3,9,27,60,laravja01
190,Matt Ryan,SF,25,LAL,10,0,122,15,44,.341,13,31,.419,2,13,.154,.489,4,5,.800,2,11,13,3,2,0,3,14,47,ryanma01
191,Rui Hachimura,PF,24,WAS,14,0,329,64,139,.460,9,30,.300,55,109,.505,.493,21,29,.724,11,57,68,12,2,8,21,16,158,hachiru01
192,Edmond Sumner,SG,27,BRK,12,6,207,32,75,.427,9,30,.300,23,45,.511,.487,21,22,.955,4,18,22,18,12,4,16,16,94,sumneed01
193,Nicolas Batum,PF,34,LAC,13,1,229,15,42,.357,9,30,.300,6,12,.500,.464,7,9,.778,10,40,50,20,5,12,11,31,46,batumni01
194,Giannis Antetokounmpo,PF,28,MIL,9,9,295,103,190,.542,8,30,.267,95,160,.594,.563,72,111,.649,17,93,110,48,10,13,30,26,286,antetgi01
195,Jeremy Sochan,PF,19,SAS,12,12,286,38,77,.494,6,30,.200,32,47,.681,.532,4,7,.571,13,32,45,19,11,6,12,28,86,sochaje01
196,Nassir Little,PF,22,POR,13,0,199,33,61,.541,13,28,.464,20,33,.606,.648,7,12,.583,4,28,32,12,4,2,7,9,86,littlna01
197,Gordon Hayward,SF,32,CHO,8,8,248,50,106,.472,10,28,.357,40,78,.513,.519,29,37,.784,4,30,34,33,6,2,22,6,139,haywago01
198,Dennis Smith Jr.,PG,25,CHO,13,11,383,58,125,.464,10,28,.357,48,97,.495,.504,6,11,.545,9,38,47,80,25,8,21,32,132,smithde03
199,Caleb Martin,PF,27,MIA,12,12,340,40,94,.426,9,28,.321,31,66,.470,.473,8,11,.727,23,30,53,21,15,1,11,26,97,martica02
200,Aaron Nesmith,SF,23,IND,8,4,169,22,53,.415,9,28,.321,13,25,.520,.500,9,11,.818,3,23,26,14,2,7,9,22,62,nesmiaa01
201,Nikola Jokić,C,27,DEN,13,13,404,103,170,.606,8,28,.286,95,142,.669,.629,56,64,.875,20,103,123,116,19,8,41,35,270,jokicni01
202,Precious Achiuwa,C,23,TOR,12,0,245,36,92,.391,5,28,.179,31,64,.484,.418,28,33,.848,24,60,84,16,2,7,15,19,105,achiupr01
203,Shaedon Sharpe,SG,19,POR,12,4,250,44,85,.518,12,27,.444,32,58,.552,.588,8,11,.727,10,21,31,5,4,3,9,25,108,sharpsh01
204,Seth Curry,SG,32,BRK,5,0,97,17,40,.425,11,27,.407,6,13,.462,.563,4,5,.800,1,7,8,11,3,1,2,8,49,curryse01
205,Jimmy Butler,SF,33,MIA,11,11,391,76,156,.487,10,27,.370,66,129,.512,.519,81,91,.890,22,50,72,67,21,2,17,16,243,butleji01
206,Myles Turner,C,26,IND,7,7,198,38,75,.507,10,27,.370,28,48,.583,.573,39,46,.848,11,50,61,10,2,22,13,26,125,turnemy01
207,Naji Marshall,SF,25,NOP,13,4,256,34,77,.442,10,27,.370,24,50,.480,.506,12,17,.706,13,24,37,18,9,3,12,18,90,marshna01
208,Mo Bamba,C,24,ORL,12,0,175,30,59,.508,8,27,.296,22,32,.688,.576,7,12,.583,8,36,44,12,2,8,8,23,75,bambamo01
209,George Hill,PG,36,MIL,12,0,272,20,53,.377,6,26,.231,14,27,.519,.434,20,28,.714,5,16,21,31,5,1,8,18,66,hillge01
210,Tari Eason,PF,21,HOU,13,0,239,41,96,.427,11,25,.440,30,71,.423,.484,15,19,.789,28,36,64,16,20,7,11,31,108,easonta01
211,Yuta Watanabe,SF,28,BRK,11,0,183,27,45,.600,12,24,.500,15,21,.714,.733,1,3,.333,7,22,29,7,3,7,3,11,67,watanyu01
212,P.J. Tucker,PF,37,PHI,14,14,398,27,47,.574,11,24,.458,16,23,.696,.691,3,4,.750,18,43,61,11,8,7,15,36,68,tuckepj01
213,AJ Griffin,SF,19,ATL,9,0,109,24,47,.511,11,24,.458,13,23,.565,.628,3,3,1.000,4,10,14,5,6,0,3,8,62,griffaj01
214,Dalano Banton,PG,23,TOR,13,0,123,24,56,.429,8,24,.333,16,32,.500,.500,8,10,.800,6,9,15,12,5,8,8,10,64,bantoda01
215,Keon Johnson,SG,20,POR,6,0,106,16,45,.356,8,23,.348,8,22,.364,.444,2,6,.333,3,12,15,10,5,2,13,10,42,johnske07
216,Josh Hart,SG,27,POR,13,13,472,40,97,.412,7,23,.304,33,74,.446,.448,28,41,.683,22,91,113,57,15,2,23,32,115,hartjo01
217,Jock Landale,C,27,PHO,12,0,186,36,72,.500,3,23,.130,33,49,.673,.521,19,24,.792,21,33,54,11,4,10,9,33,94,landajo01
218,Josh Green,SG,22,DAL,12,0,226,25,40,.625,11,22,.500,14,18,.778,.763,14,22,.636,11,16,27,11,13,1,9,24,75,greenjo02
219,Daishen Nix,PG,20,HOU,11,0,152,13,34,.382,10,22,.455,3,12,.250,.529,3,4,.750,3,11,14,24,9,1,16,9,39,nixda01
220,Ousmane Dieng,SF,19,OKC,9,0,135,12,36,.333,5,22,.227,7,14,.500,.403,1,2,.500,3,17,20,15,1,2,3,5,30,diengou01
221,Javonte Green,SG,29,CHI,14,0,244,32,59,.542,8,21,.381,24,38,.632,.610,12,15,.800,16,29,45,13,16,10,10,30,84,greenja02
222,Danuel House Jr.,SF,29,PHI,12,0,202,15,35,.429,7,21,.333,8,14,.571,.529,10,14,.714,4,16,20,10,6,3,6,17,47,houseda01
223,Kenrich Williams,PF,28,OKC,12,2,247,30,62,.484,6,21,.286,24,41,.585,.532,3,9,.333,24,28,52,20,8,2,4,24,69,willike04
224,R.J. Hampton,PG,21,ORL,11,0,168,24,46,.522,11,20,.550,13,26,.500,.641,13,14,.929,6,12,18,15,8,4,11,14,72,hamptrj01
225,Cole Anthony,PG,22,ORL,4,3,122,22,53,.415,7,20,.350,15,33,.455,.481,11,15,.733,3,16,19,17,3,3,8,14,62,anthoco01
226,Aaron Wiggins,SG,24,OKC,10,4,214,21,51,.412,7,20,.350,14,31,.452,.480,11,14,.786,7,34,41,20,6,4,8,19,60,wiggiaa01
227,Naz Reid,C,23,MIN,9,0,118,31,53,.585,6,20,.300,25,33,.758,.642,8,12,.667,6,18,24,3,4,7,7,17,76,reidna01
228,Justise Winslow,SF,26,POR,11,4,293,35,89,.393,5,20,.250,30,69,.435,.421,12,18,.667,19,34,53,39,14,6,14,28,87,winslju01
229,Terance Mann,SG,26,LAC,13,5,232,36,62,.581,5,20,.250,31,42,.738,.621,6,11,.545,8,30,38,18,7,4,11,21,83,mannte01
230,DeMar DeRozan,SF,33,CHI,14,14,473,114,224,.509,4,20,.200,110,204,.539,.518,102,115,.887,5,50,55,59,16,6,32,36,334,derozde01
231,JT Thor,PF,20,CHO,13,0,143,12,38,.316,4,20,.200,8,18,.444,.368,7,9,.778,8,20,28,8,3,5,9,7,35,thorjt01
232,Bol Bol,PF,23,ORL,13,8,306,59,88,.670,10,19,.526,49,69,.710,.727,21,25,.840,17,80,97,7,2,25,23,21,149,bolbo01
233,Malachi Flynn,PG,24,TOR,8,0,80,15,35,.429,9,19,.474,6,16,.375,.557,6,7,.857,1,7,8,5,3,1,3,11,45,flynnma01
234,Jordan McLaughlin,PG,26,MIN,12,0,187,15,40,.375,2,19,.105,13,21,.619,.400,6,6,1.000,4,20,24,46,6,1,8,6,38,mclaujo01
235,Corey Kispert,SF,23,WAS,6,5,145,19,34,.559,8,18,.444,11,16,.688,.676,7,8,.875,0,13,13,10,5,0,4,7,53,kispeco01
236,Isaiah Joe,SG,23,OKC,10,0,60,13,24,.542,8,18,.444,5,6,.833,.708,4,4,1.000,0,9,9,6,3,1,3,7,38,joeis01
237,Zach Collins,PF,25,SAS,9,0,159,31,59,.525,7,18,.389,24,41,.585,.585,6,9,.667,12,30,42,25,6,11,17,27,75,colliza01
238,Darius Bazley,PF,22,OKC,11,0,184,27,64,.422,7,18,.389,20,46,.435,.477,5,11,.455,18,34,52,17,9,14,6,16,66,bazleda01
239,Cory Joseph,PG,31,DET,12,2,149,13,33,.394,7,18,.389,6,15,.400,.500,9,11,.818,2,9,11,29,3,1,5,18,42,josepco01
240,Théo Maledon,PG,21,CHO,13,0,173,20,40,.500,6,18,.333,14,22,.636,.575,7,8,.875,1,26,27,28,5,3,14,12,53,maledth01
241,Jeff Green,PF,36,DEN,13,0,258,38,73,.521,5,18,.278,33,55,.600,.555,20,27,.741,11,25,36,16,6,3,13,26,101,greenje02
242,Herbert Jones,SF,24,NOP,9,9,269,33,71,.465,2,18,.111,31,53,.585,.479,26,33,.788,12,20,32,18,10,5,9,33,94,joneshe01
243,Caleb Houstan,SF,20,ORL,9,0,157,9,26,.346,5,17,.294,4,9,.444,.442,5,6,.833,3,13,16,4,2,1,4,13,28,houstca01
244,JaMychal Green,PF,32,GSW,10,0,171,19,44,.432,4,17,.235,15,27,.556,.477,4,5,.800,20,27,47,6,10,5,10,21,46,greenja01
245,Jalen Johnson,SF,21,ATL,13,0,182,22,49,.449,3,17,.176,19,32,.594,.480,8,12,.667,6,36,42,9,9,3,6,18,55,johnsja05
246,Aaron Holiday,PG,26,ATL,13,1,249,25,56,.446,8,16,.500,17,40,.425,.518,8,9,.889,6,11,17,23,10,3,12,21,66,holidaa01
247,Jarred Vanderbilt,PF,23,UTA,13,13,323,47,82,.573,7,16,.438,40,66,.606,.616,11,17,.647,31,76,107,35,17,5,23,48,112,vandeja01
248,Anthony Lamb,SF,25,GSW,5,1,99,15,27,.556,7,16,.438,8,11,.727,.685,0,0,,4,11,15,6,4,0,4,13,37,lamban01
249,Jonas Valančiūnas,C,30,NOP,13,13,316,65,129,.504,6,16,.375,59,113,.522,.527,44,52,.846,43,88,131,27,7,4,17,28,180,valanjo01
250,Christian Braun,SG,21,DEN,12,0,188,19,40,.475,6,16,.375,13,24,.542,.550,4,6,.667,7,19,26,14,6,2,5,11,48,braunch01
251,Ty Jerome,SG,25,GSW,8,0,120,16,30,.533,6,16,.375,10,14,.714,.633,10,10,1.000,1,7,8,15,1,1,2,9,48,jeromty01
252,Otto Porter Jr.,SF,29,TOR,7,1,134,15,28,.536,6,16,.375,9,12,.750,.643,8,8,1.000,6,12,18,8,11,0,3,7,44,porteot01
253,Anthony Davis,C,29,LAL,12,12,414,116,214,.542,4,16,.250,112,198,.566,.551,55,70,.786,43,91,134,30,16,22,19,37,291,davisan02
254,Jalen Williams,SG,21,OKC,9,2,192,31,58,.534,3,16,.188,28,42,.667,.560,5,5,1.000,3,16,19,22,9,3,12,23,70,willija06
255,Matisse Thybulle,SG,25,PHI,13,3,170,8,27,.296,3,16,.188,5,11,.455,.352,1,3,.333,4,16,20,8,13,5,2,17,20,thybuma01
256,Kevin Knox,SF,23,DET,8,0,65,6,24,.250,2,16,.125,4,8,.500,.292,0,0,,2,6,8,1,1,1,4,10,14,knoxke01
257,Jordan Goodwin,PG,24,WAS,8,0,151,22,40,.550,8,15,.533,14,25,.560,.650,3,4,.750,10,24,34,25,6,7,5,13,55,goodwjo01
258,Markieff Morris,PF,33,BRK,8,0,77,7,22,.318,6,15,.400,1,7,.143,.455,0,0,,2,14,16,9,2,2,7,10,20,morrima02
259,Cam Thomas,SG,21,BRK,9,0,175,25,64,.391,5,15,.333,20,49,.408,.430,29,34,.853,1,15,16,20,7,2,8,10,84,thomaca02
260,Malaki Branham,SF,19,SAS,4,2,78,8,28,.286,3,15,.200,5,13,.385,.339,5,6,.833,2,7,9,8,1,0,3,3,24,branhma01
261,Robert Covington,PF,32,LAC,7,0,100,9,21,.429,5,14,.357,4,7,.571,.548,6,6,1.000,1,22,23,8,3,5,4,16,29,covinro01
262,Gorgui Dieng,C,33,SAS,6,0,55,8,17,.471,5,14,.357,3,3,1.000,.618,0,0,,4,8,12,11,1,4,7,9,21,dienggo01
263,Keita Bates-Diop,SF,27,SAS,12,2,147,30,59,.508,4,14,.286,26,45,.578,.542,16,19,.842,11,15,26,5,5,0,14,6,80,bateske01
264,Bryn Forbes,SG,29,MIN,8,0,87,9,29,.310,4,14,.286,5,15,.333,.379,4,4,1.000,3,2,5,8,7,0,3,5,26,forbebr01
265,Domantas Sabonis,PF,26,SAC,12,12,384,78,140,.557,3,14,.214,75,126,.595,.568,56,79,.709,31,105,136,75,11,6,27,47,215,sabondo01
266,Isaiah Hartenstein,C,24,NYK,13,3,326,44,79,.557,3,14,.214,41,65,.631,.576,11,14,.786,48,60,108,12,9,16,15,37,102,harteis01
267,Isaac Okoro,SG,22,CLE,13,3,205,12,36,.333,1,14,.071,11,22,.500,.347,9,12,.750,5,14,19,5,7,1,11,26,34,okorois01
268,Kyle Anderson,PF,29,MIN,10,2,193,22,40,.550,6,13,.462,16,27,.593,.625,11,13,.846,4,25,29,29,8,5,8,12,61,anderky01
269,Dewayne Dedmon,C,33,MIA,11,0,133,23,42,.548,5,13,.385,18,29,.621,.607,13,16,.813,9,28,37,8,1,4,6,24,64,dedmode01
270,Nickeil Alexander-Walker,SG,24,UTA,9,0,70,9,27,.333,4,13,.308,5,14,.357,.407,4,5,.800,0,6,6,10,5,3,5,11,26,alexani01
271,Alperen Şengün,C,20,HOU,11,8,289,64,111,.577,3,13,.231,61,98,.622,.590,46,58,.793,41,59,100,22,8,11,21,37,177,sengual01
272,Draymond Green,PF,32,GSW,12,12,365,43,76,.566,3,12,.250,40,64,.625,.586,10,17,.588,8,69,77,80,11,7,30,43,99,greendr01
273,Joshua Primo,SG,20,SAS,4,0,93,9,26,.346,3,12,.250,6,14,.429,.404,7,9,.778,2,11,13,18,1,2,11,8,28,primojo01
274,Delon Wright,PG,30,WAS,4,0,91,10,24,.417,3,12,.250,7,12,.583,.479,3,5,.600,4,6,10,13,11,4,4,5,26,wrighde01
275,Josh Christopher,SG,21,HOU,9,0,75,11,30,.367,1,12,.083,10,18,.556,.383,1,2,.500,3,11,14,5,3,0,6,5,24,chrisjo01
276,Jusuf Nurkić,C,28,POR,10,10,295,48,97,.495,6,11,.545,42,86,.488,.526,28,32,.875,31,81,112,25,9,8,25,31,130,nurkiju01
277,Eugene Omoruyi,SF,25,OKC,6,0,69,15,26,.577,6,11,.545,9,15,.600,.692,7,11,.636,5,7,12,2,1,0,4,17,43,omorueu01
278,Max Christie,SG,19,LAL,8,0,92,8,17,.471,6,11,.545,2,6,.333,.647,3,4,.750,1,20,21,4,3,0,2,4,25,chrisma02
279,Kevon Harris,SG,25,ORL,9,0,122,10,31,.323,4,11,.364,6,20,.300,.387,11,14,.786,8,13,21,5,4,0,8,16,35,harrike01
280,Derrick Jones Jr.,SF,25,CHI,12,0,173,20,45,.444,3,11,.273,17,34,.500,.478,26,31,.839,13,19,32,7,5,10,2,15,69,jonesde02
281,Payton Pritchard,PG,25,BOS,6,0,60,11,25,.440,3,11,.273,8,14,.571,.500,2,4,.500,5,6,11,7,1,0,8,3,27,pritcpa01
282,Simone Fontecchio,SF,27,UTA,7,0,32,6,16,.375,3,11,.273,3,5,.600,.469,0,0,,2,4,6,0,1,0,3,5,15,fontesi01
283,Evan Mobley,PF,21,CLE,13,13,441,78,141,.553,2,11,.182,76,130,.585,.560,34,48,.708,31,67,98,28,12,18,31,40,192,mobleev01
284,Juan Toscano-Anderson,SF,29,LAL,10,0,123,10,25,.400,2,11,.182,8,14,.571,.440,4,5,.800,1,20,21,5,3,3,8,17,26,toscaju01
285,Jonathan Kuminga,PF,20,GSW,10,1,131,15,39,.385,1,11,.091,14,28,.500,.397,11,13,.846,6,11,17,6,3,3,12,18,42,kuminjo01
286,Serge Ibaka,PF,33,MIL,10,0,116,16,31,.516,4,10,.400,12,21,.571,.581,7,11,.636,10,23,33,3,0,6,7,15,43,ibakase01
287,Donte DiVincenzo,SG,26,GSW,5,0,82,6,15,.400,3,10,.300,3,5,.600,.500,5,6,.833,0,8,8,8,1,0,8,8,20,divindo01
288,Chimezie Metu,C,25,SAC,8,0,93,16,32,.500,1,10,.100,15,22,.682,.516,5,6,.833,2,18,20,8,3,1,2,8,38,metuch01
